Country Name,Country Code,Year,Total GDP (current US$)
Denmark,DNK,2016,312181849372
Norway,NOR,2016,370956547619
Sweden,SWE,2016,514218206628
Denmark,DNK,2017,331610593961
Norway,NOR,2017,401745275035
Sweden,SWE,2017,536083940228
Denmark,DNK,2018,355293374912
Norway,NOR,2018,439788625883
Sweden,SWE,2018,551312498430
Denmark,DNK,2019,345401473012
Norway,NOR,2019,408742840909
Sweden,SWE,2019,532169294165
Denmark,DNK,2020,355631021931
Norway,NOR,2020,367633418886
Sweden,SWE,2020,545147614972
Denmark,DNK,2021,408378204639
Norway,NOR,2021,503367986030
Sweden,SWE,2021,637186904843
Denmark,DNK,2022,401945576107
Norway,NOR,2022,593726965415
Sweden,SWE,2022,579895717343
Denmark,DNK,2023,407091920305
Norway,NOR,2023,485310823603
Sweden,SWE,2023,584960475767
