Country,date,total_cases
Denmark,2020-01-11,0
Denmark,2020-01-18,0
Denmark,2020-01-25,0
Denmark,2020-02-01,0
Denmark,2020-02-08,0
Denmark,2020-02-15,0
Denmark,2020-02-22,0
Denmark,2020-02-29,0
Denmark,2020-03-07,3
Denmark,2020-03-14,23
Denmark,2020-03-21,827
Denmark,2020-03-28,1326
Denmark,2020-04-04,2201
Denmark,2020-04-11,4077
Denmark,2020-04-18,5996
Denmark,2020-04-25,7242
Denmark,2020-05-02,8445
Denmark,2020-05-09,9407
Denmark,2020-05-16,10319
Denmark,2020-05-23,10858
Denmark,2020-05-30,11289
Denmark,2020-06-06,11633
Denmark,2020-06-13,11924
Denmark,2020-06-20,12139
Denmark,2020-06-27,12436
Denmark,2020-07-04,12700
Denmark,2020-07-11,12847
Denmark,2020-07-18,12976
Denmark,2020-07-25,13202
Denmark,2020-08-01,13474
Denmark,2020-08-08,13858
Denmark,2020-08-15,14566
Denmark,2020-08-22,15499
Denmark,2020-08-29,16217
Denmark,2020-09-05,16779
Denmark,2020-09-12,17736
Denmark,2020-09-19,19557
Denmark,2020-09-26,22436
Denmark,2020-10-03,26213
Denmark,2020-10-10,29302
Denmark,2020-10-17,32082
Denmark,2020-10-24,34941
Denmark,2020-10-31,39411
Denmark,2020-11-07,46351
Denmark,2020-11-14,54230
Denmark,2020-11-21,61078
Denmark,2020-11-28,69635
Denmark,2020-12-05,78354
Denmark,2020-12-12,88858
Denmark,2020-12-19,107116
Denmark,2020-12-26,131606
Denmark,2021-01-02,151167
Denmark,2021-01-09,167541
Denmark,2021-01-16,180240
Denmark,2021-01-23,188199
Denmark,2021-01-30,193917
Denmark,2021-02-06,198095
Denmark,2021-02-13,201186
Denmark,2021-02-20,204067
Denmark,2021-02-27,207081
Denmark,2021-03-06,210732
Denmark,2021-03-13,214326
Denmark,2021-03-20,219918
Denmark,2021-03-27,224848
Denmark,2021-04-03,229549
Denmark,2021-04-10,235218
Denmark,2021-04-17,239601
Denmark,2021-04-24,244231
Denmark,2021-05-01,249510
Denmark,2021-05-08,254545
Denmark,2021-05-15,260682
Denmark,2021-05-22,268039
Denmark,2021-05-29,275159
Denmark,2021-06-05,281934
Denmark,2021-06-12,288136
Denmark,2021-06-19,292059
Denmark,2021-06-26,293963
Denmark,2021-07-03,295269
Denmark,2021-07-10,297425
Denmark,2021-07-17,301114
Denmark,2021-07-24,307959
Denmark,2021-07-31,313376
Denmark,2021-08-07,319307
Denmark,2021-08-14,325465
Denmark,2021-08-21,332427
Denmark,2021-08-28,339246
Denmark,2021-09-04,345851
Denmark,2021-09-11,350847
Denmark,2021-09-18,354439
Denmark,2021-09-25,356893
Denmark,2021-10-02,359184
Denmark,2021-10-09,362163
Denmark,2021-10-16,365856
Denmark,2021-10-23,370560
Denmark,2021-10-30,377565
Denmark,2021-11-06,388751
Denmark,2021-11-13,402645
Denmark,2021-11-20,422599
Denmark,2021-11-27,449176
Denmark,2021-12-04,477137
Denmark,2021-12-11,508585
Denmark,2021-12-18,550900
Denmark,2021-12-25,617915
Denmark,2022-01-01,697563
Denmark,2022-01-08,823282
Denmark,2022-01-15,950237
Denmark,2022-01-22,1105037
Denmark,2022-01-29,1355815
Denmark,2022-02-05,1677289
Denmark,2022-02-12,1966530
Denmark,2022-02-19,2289076
Denmark,2022-02-26,2552361
Denmark,2022-03-05,2731806
Denmark,2022-03-12,2853236
Denmark,2022-03-19,2943947
Denmark,2022-03-26,2999923
Denmark,2022-04-02,3039204
Denmark,2022-04-09,3064625
Denmark,2022-04-16,3083432
Denmark,2022-04-23,3097015
Denmark,2022-04-30,3109014
Denmark,2022-05-07,3116655
Denmark,2022-05-14,3122739
Denmark,2022-05-21,3127683
Denmark,2022-05-28,3131972
Denmark,2022-06-04,3135378
Denmark,2022-06-11,3139174
Denmark,2022-06-18,3144149
Denmark,2022-06-25,3151676
Denmark,2022-07-02,3162065
Denmark,2022-07-09,3174867
Denmark,2022-07-16,3190113
Denmark,2022-07-23,3205594
Denmark,2022-07-30,3220040
Denmark,2022-08-06,3230985
Denmark,2022-08-13,3241624
Denmark,2022-08-20,3253433
Denmark,2022-08-27,3263146
Denmark,2022-09-03,3270037
Denmark,2022-09-10,3275188
Denmark,2022-09-17,3280650
Denmark,2022-09-24,3285889
Denmark,2022-10-01,3292141
Denmark,2022-10-08,3300495
Denmark,2022-10-15,3309542
Denmark,2022-10-22,3318745
Denmark,2022-10-29,3326805
Denmark,2022-11-05,3333374
Denmark,2022-11-12,3337938
Denmark,2022-11-19,3342188
Denmark,2022-11-26,3346044
Denmark,2022-12-03,3350376
Denmark,2022-12-10,3356914
Denmark,2022-12-17,3365856
Denmark,2022-12-24,3372765
Denmark,2022-12-31,3381851
Denmark,2023-01-07,3389605
Denmark,2023-01-14,3394463
Denmark,2023-01-21,3396917
Denmark,2023-01-28,3398274
Denmark,2023-02-04,3399338
Denmark,2023-02-11,3400410
Denmark,2023-02-18,3401371
Denmark,2023-02-25,3402251
Denmark,2023-03-04,3403074
Denmark,2023-03-11,3403829
Denmark,2023-03-18,3404674
Denmark,2023-03-25,3405922
Denmark,2023-04-01,3407506
Denmark,2023-04-08,3408815
Denmark,2023-04-15,3409630
Denmark,2023-04-22,3410463
Denmark,2023-04-29,3411214
Denmark,2023-05-06,3411800
Denmark,2023-05-13,3412324
Denmark,2023-05-20,3412926
Denmark,2023-05-27,3413293
Denmark,2023-06-03,3413642
Denmark,2023-06-10,3413835
Denmark,2023-06-17,3414007
Denmark,2023-06-24,3414169
Denmark,2023-07-01,3414195
Denmark,2023-07-08,3414274
Denmark,2023-07-15,3414333
Denmark,2023-07-22,3414419
Denmark,2023-07-29,3414510
Denmark,2023-08-05,3414569
Denmark,2023-08-12,3414674
Denmark,2023-08-19,3414815
Denmark,2023-08-26,3415091
Denmark,2023-09-02,3415375
Denmark,2023-09-09,3415744
Denmark,2023-09-16,3416173
Denmark,2023-09-23,3416554
Denmark,2023-09-30,3416698
Denmark,2023-10-07,3417017
Denmark,2023-10-14,3417017
Denmark,2023-10-21,3417017
Denmark,2023-10-28,3417017
Denmark,2023-11-04,3417017
Denmark,2023-11-11,3417958
Denmark,2023-11-18,3419037
Denmark,2023-11-25,3420247
Denmark,2023-12-02,3421904
Denmark,2023-12-09,3423954
Denmark,2023-12-16,3426666
Denmark,2023-12-23,3429354
Denmark,2023-12-30,3431306
Denmark,2024-01-06,3432346
Denmark,2024-01-13,3433078
Denmark,2024-01-20,3433470
Denmark,2024-01-27,3433786
Denmark,2024-02-03,3434002
Denmark,2024-02-10,3434172
Denmark,2024-02-17,3434301
Denmark,2024-02-24,3434420
Denmark,2024-03-02,3434511
Denmark,2024-03-09,3434598
Denmark,2024-03-16,3434660
Denmark,2024-03-23,3434723
Denmark,2024-03-30,3434788
Denmark,2024-04-06,3434844
Denmark,2024-04-13,3434887
Denmark,2024-04-20,3434939
Denmark,2024-04-27,3434977
Denmark,2024-05-04,3435019
Denmark,2024-05-11,3435081
Denmark,2024-05-18,3435132
Denmark,2024-05-25,3435199
Denmark,2024-06-01,3435259
Denmark,2024-06-08,3435320
Denmark,2024-06-15,3435384
Denmark,2024-06-22,3435499
Denmark,2024-06-29,3435679
Denmark,2024-07-06,3435679
Denmark,2024-07-13,3435679
Denmark,2024-07-20,3435679
Denmark,2024-07-27,3435679
Denmark,2024-08-03,3435679
Norway,2020-01-10,0
Norway,2020-01-17,0
Norway,2020-01-24,0
Norway,2020-01-31,0
Norway,2020-02-07,0
Norway,2020-02-14,0
Norway,2020-02-21,0
Norway,2020-02-28,1
Norway,2020-03-06,21
Norway,2020-03-13,183
Norway,2020-03-20,1364
Norway,2020-03-27,2754
Norway,2020-04-03,4529
Norway,2020-04-10,5755
Norway,2020-04-17,6513
Norway,2020-04-24,7129
Norway,2020-05-01,7551
Norway,2020-05-08,7853
Norway,2020-05-15,8107
Norway,2020-05-22,8242
Norway,2020-05-29,8348
Norway,2020-06-05,8434
Norway,2020-06-12,8545
Norway,2020-06-19,8631
Norway,2020-06-26,8743
Norway,2020-07-03,8858
Norway,2020-07-10,8925
Norway,2020-07-17,8986
Norway,2020-07-24,9041
Norway,2020-07-31,9129
Norway,2020-08-07,9324
Norway,2020-08-14,9675
Norway,2020-08-21,10052
Norway,2020-08-28,10420
Norway,2020-09-04,10766
Norway,2020-09-11,11497
Norway,2020-09-18,12244
Norway,2020-09-25,12965
Norway,2020-10-02,13775
Norway,2020-10-09,14558
Norway,2020-10-16,15627
Norway,2020-10-23,16556
Norway,2020-10-30,18156
Norway,2020-11-06,21184
Norway,2020-11-13,25167
Norway,2020-11-20,29237
Norway,2020-11-27,33022
Norway,2020-12-04,35999
Norway,2020-12-11,38491
Norway,2020-12-18,41192
Norway,2020-12-25,44126
Norway,2021-01-01,47244
Norway,2021-01-08,51091
Norway,2021-01-15,55785
Norway,2021-01-22,59003
Norway,2021-01-29,61262
Norway,2021-02-05,63213
Norway,2021-02-12,65073
Norway,2021-02-19,66815
Norway,2021-02-26,68788
Norway,2021-03-05,71728
Norway,2021-03-12,75738
Norway,2021-03-19,81277
Norway,2021-03-26,87902
Norway,2021-04-02,93994
Norway,2021-04-09,98927
Norway,2021-04-16,104009
Norway,2021-04-23,107798
Norway,2021-04-30,111049
Norway,2021-05-07,113874
Norway,2021-05-14,116938
Norway,2021-05-21,119574
Norway,2021-05-28,122743
Norway,2021-06-04,125185
Norway,2021-06-11,127083
Norway,2021-06-18,128343
Norway,2021-06-25,129593
Norway,2021-07-02,130873
Norway,2021-07-09,132161
Norway,2021-07-16,133361
Norway,2021-07-23,134502
Norway,2021-07-30,135950
Norway,2021-08-06,138186
Norway,2021-08-13,141098
Norway,2021-08-20,144804
Norway,2021-08-27,149134
Norway,2021-09-03,157446
Norway,2021-09-10,167555
Norway,2021-09-17,176287
Norway,2021-09-24,182315
Norway,2021-10-01,187025
Norway,2021-10-08,190639
Norway,2021-10-15,193663
Norway,2021-10-22,196480
Norway,2021-10-29,200640
Norway,2021-11-05,207461
Norway,2021-11-12,217030
Norway,2021-11-19,228750
Norway,2021-11-26,243181
Norway,2021-12-03,261151
Norway,2021-12-10,286705
Norway,2021-12-17,320554
Norway,2021-12-24,352294
Norway,2021-12-31,375290
Norway,2022-01-07,400354
Norway,2022-01-14,445833
Norway,2022-01-21,515465
Norway,2022-01-28,630772
Norway,2022-02-04,767568
Norway,2022-02-11,896736
Norway,2022-02-18,1038520
Norway,2022-02-25,1139710
Norway,2022-03-04,1242037
Norway,2022-03-11,1310251
Norway,2022-03-18,1353454
Norway,2022-03-25,1381103
Norway,2022-04-01,1399112
Norway,2022-04-08,1409933
Norway,2022-04-15,1417007
Norway,2022-04-22,1420764
Norway,2022-04-29,1424626
Norway,2022-05-06,1426932
Norway,2022-05-13,1428812
Norway,2022-05-20,1430611
Norway,2022-05-27,1432156
Norway,2022-06-03,1433735
Norway,2022-06-10,1435610
Norway,2022-06-17,1437670
Norway,2022-06-24,1440693
Norway,2022-07-01,1445247
Norway,2022-07-08,1449154
Norway,2022-07-15,1451532
Norway,2022-07-22,1453522
Norway,2022-07-29,1455166
Norway,2022-08-05,1456491
Norway,2022-08-12,1457640
Norway,2022-08-19,1458761
Norway,2022-08-26,1459626
Norway,2022-09-02,1460369
Norway,2022-09-09,1461041
Norway,2022-09-16,1461588
Norway,2022-09-23,1462099
Norway,2022-09-30,1462556
Norway,2022-10-07,1463056
Norway,2022-10-14,1463560
Norway,2022-10-21,1464060
Norway,2022-10-28,1464594
Norway,2022-11-04,1465379
Norway,2022-11-11,1466270
Norway,2022-11-18,1467182
Norway,2022-11-25,1468099
Norway,2022-12-02,1469106
Norway,2022-12-09,1470188
Norway,2022-12-16,1471483
Norway,2022-12-23,1472960
Norway,2022-12-30,1474524
Norway,2023-01-06,1475785
Norway,2023-01-13,1476853
Norway,2023-01-20,1477513
Norway,2023-01-27,1477941
Norway,2023-02-03,1478284
Norway,2023-02-10,1478584
Norway,2023-02-17,1478872
Norway,2023-02-24,1479168
Norway,2023-03-03,1479454
Norway,2023-03-10,1479802
